index,people,doorOpen,doorLocked,timestamp,peopleAllowd
480,0,0,0,5/4/2021 11:26,9
481,0,0,1,5/4/2021 11:26,9
482,0,0,1,5/4/2021 11:26,9
483,0,1,0,5/4/2021 11:26,9
484,0,1,0,5/4/2021 11:26,9
485,1,1,0,5/4/2021 11:29,9
486,0,1,0,5/4/2021 11:30,9
487,1,1,0,5/4/2021 11:30,9
488,2,1,0,5/4/2021 11:30,9
489,1,1,0,5/4/2021 11:30,9
490,2,1,0,5/4/2021 11:30,9
491,0,1,0,5/4/2021 11:38,9
492,0,0,1,5/4/2021 11:39,9
493,0,0,0,5/4/2021 11:39,9
494,0,0,1,5/4/2021 11:39,9
495,0,0,0,5/4/2021 11:39,9
496,0,0,1,5/4/2021 11:39,9
497,0,0,0,5/4/2021 11:39,9
498,0,0,1,5/4/2021 11:41,9
499,0,0,1,5/4/2021 11:41,9
500,0,0,0,5/4/2021 11:42,9
501,0,1,0,5/4/2021 11:42,9
502,0,0,1,5/4/2021 11:42,9
503,0,0,1,5/4/2021 11:42,9
504,0,0,0,5/4/2021 11:42,9
505,0,1,0,5/4/2021 11:42,9
506,0,0,1,5/4/2021 11:42,9
507,0,0,1,5/4/2021 11:42,9
508,0,1,0,5/4/2021 11:46,9
509,0,1,0,5/4/2021 11:46,9
510,0,0,1,5/4/2021 11:46,9
511,0,0,1,5/4/2021 11:46,9
512,0,1,0,5/4/2021 11:46,9
513,0,1,0,5/4/2021 11:46,9
514,0,1,0,5/4/2021 11:46,9
515,0,0,1,5/4/2021 11:46,9
516,0,0,1,5/4/2021 11:46,9
517,0,0,1,5/4/2021 11:47,9
518,0,1,0,5/4/2021 11:47,9
519,0,1,0,5/4/2021 11:47,9
520,0,0,1,5/4/2021 11:47,9
521,0,0,1,5/4/2021 11:47,9
522,0,1,0,5/4/2021 11:47,9
523,0,1,0,5/4/2021 11:47,9
524,0,0,1,5/4/2021 11:47,9
525,0,0,1,5/4/2021 11:47,9
526,0,1,0,5/4/2021 11:47,9
527,0,1,0,5/4/2021 11:47,9
528,0,0,1,5/4/2021 11:47,9
529,0,0,1,5/4/2021 11:47,9
530,0,1,0,5/4/2021 11:47,9
531,0,1,0,5/4/2021 11:47,9
532,0,0,1,5/4/2021 11:50,9
533,0,0,1,5/4/2021 11:50,9
534,0,1,0,5/4/2021 11:50,9
